Epoch,distance,True_Accepts,False_Accepts
0,0.2,0.2530612244897959,0.0
0,0.7,0.6783673469387755,0.3196
0,1.2,1.0,0.6788
0,1.7,1.0,0.9724
1,0.2,0.20653061224489797,0.0176
1,0.7,0.4620408163265306,0.5708
1,1.2,0.746938775510204,0.8048
1,1.7,0.9918367346938776,0.9916
2,0.2,0.23918367346938776,0.0
2,0.7,0.4987755102040816,0.0
2,1.2,0.9575510204081633,0.056
2,1.7,1.0,0.6436
3,0.2,0.23918367346938776,0.0
3,0.7,0.796734693877551,0.1952
3,1.2,0.9959183673469387,0.948
3,1.7,1.0,1.0
4,0.2,0.2253061224489796,0.0
4,0.7,0.6448979591836734,0.0412
4,1.2,0.9469387755102041,0.7388
4,1.7,0.9836734693877551,0.938
5,0.2,0.17224489795918368,0.0
5,0.7,0.48653061224489796,0.02
5,1.2,0.7795918367346939,0.282
5,1.7,0.9412244897959183,0.7136
6,0.2,0.1363265306122449,0.0
6,0.7,0.7281632653061224,0.0008
6,1.2,0.9069387755102041,0.0808
6,1.7,0.9787755102040816,0.308
7,0.2,0.12081632653061225,0.0
7,0.7,0.44326530612244897,0.2208
7,1.2,0.8391836734693877,0.6276
7,1.7,0.9722448979591837,0.934
8,0.2,0.0783673469387755,0.0
8,0.7,0.3273469387755102,0.118
8,1.2,0.48081632653061224,0.5348
8,1.7,0.686530612244898,0.58
9,0.2,0.08489795918367347,0.0
9,0.7,0.3877551020408163,0.0
9,1.2,0.769795918367347,0.0
9,1.7,0.9648979591836735,0.0328
10,0.2,0.15020408163265306,0.0
10,0.7,0.4636734693877551,0.0
10,1.2,0.8375510204081633,0.266
10,1.7,0.9673469387755103,0.5968
11,0.2,0.1493877551020408,0.0
11,0.7,0.5102040816326531,0.0
11,1.2,0.9926530612244898,0.0
11,1.7,1.0,0.1336
12,0.2,0.20408163265306123,0.0
12,0.7,0.9191836734693878,0.0692
12,1.2,1.0,0.8312
12,1.7,1.0,1.0
13,0.2,0.19673469387755102,0.0
13,0.7,0.9518367346938775,0.2896
13,1.2,1.0,0.9092
13,1.7,1.0,0.9936
14,0.2,0.10612244897959183,0.0
14,0.7,0.5551020408163265,0.2144
14,1.2,0.9151020408163265,0.9772
14,1.7,1.0,0.9964
15,0.2,0.17551020408163265,0.0
15,0.7,0.41959183673469386,0.4724
15,1.2,0.5918367346938775,0.626
15,1.7,0.8587755102040816,0.8772
16,0.2,0.14775510204081632,0.0
16,0.7,0.5387755102040817,0.0
16,1.2,0.88,0.1744
16,1.7,0.9934693877551021,0.6436
17,0.2,0.12489795918367347,0.0
17,0.7,0.6179591836734694,0.0104
17,1.2,0.9420408163265306,0.1944
17,1.7,0.9975510204081632,0.7304
18,0.2,0.09387755102040816,0.0
18,0.7,0.4228571428571429,0.0336
18,1.2,0.7559183673469387,0.5904
18,1.7,0.9559183673469388,0.848
19,0.2,0.0783673469387755,0.0
19,0.7,0.33714285714285713,0.0192
19,1.2,0.6106122448979592,0.2544
19,1.7,0.8351020408163266,0.518
20,0.2,0.0653061224489796,0.0
20,0.7,0.3461224489795918,0.0032
20,1.2,0.6261224489795918,0.142
20,1.7,0.8791836734693877,0.4488
21,0.2,0.0636734693877551,0.0
21,0.7,0.32571428571428573,0.0
21,1.2,0.5485714285714286,0.0152
21,1.7,0.763265306122449,0.2268
22,0.2,0.11673469387755102,0.0
22,0.7,0.48081632653061224,0.0888
22,1.2,0.76,0.5184
22,1.7,1.0,0.6284
23,0.2,0.08734693877551021,0.0
23,0.7,0.5028571428571429,0.068
23,1.2,0.7942857142857143,0.4616
23,1.7,0.9248979591836735,0.776
24,0.2,0.12816326530612246,0.0
24,0.7,0.8,0.0088
24,1.2,0.9526530612244898,0.0556
24,1.7,0.9844897959183674,0.2892
